id,type,text
1,headers,Paises
1,headers,Hemisferios
1,1,I: India
1,1,II: Angola
1,1,III: Paraguay
1,1,IV: Australia
1,2,a. Boreal
1,2,b.Austral
1,2,"c. Oriental
"
1,2,d. Occidental
2,1,"I. Alta alfabetización 
"
2,1,II. Alta deuda externa
2,1,III. Alto alfabetismo
2,1,IV. Bajo ingreso per cápita
2,1,V. Actividades secundarias y terciarias
3,1,"1. Autotrófos 
"
3,1,2. Heterótrofos
3,2,a. Las cianobacterias utilizan agua como fuente de electrones para la fotosíntesis y producir oxígeno como producto residual 
3,2,b. Las bacterias intestinales aprovechan una variedad de nutrientes orgánicos para sobrevivir y reproducirse rápidamente
3,2,c. Las plantas utilizan energía lumínica para producir carbohidratos y oxígeno gaseoso a partir de bióxido de carbono y agua
3,2,d. Una levadura alimentada por glucosa en un ambiente anaeróbico es capaz de producir bióxido de carbono y etanol
4,1,1. Procariontas
4,1,2. Eucariontas
4,2,a. Tamaño de 1 a 10 micras
4,2,b. Reproducción por mitosis 
4,2,c. Comosomas múltiples
4,2,d. DNA circular en el citoplasma
5,1,1. Anabolismo
5,1,2. Catabolismo
5,2,"a. Construcción de moléculas orgánicas complejas
"
5,2,b. Degradación de moléculas orgánicas complejas
5,2,c. Almidón-glucosa
5,2,d. Aminoácidos-proteínas
6,1,I: Presidencia de Vicente Guerrero
6,1,II: Invasión de Isidro Barradas
6,1,III: Imperio de Agustín de Iturbide
6,1,IV: Primera administración de Antonio López de Santa Anna
6,1,V: Presidencia de Guadalupe Victoria
7,1,I. Antecedentes
7,1,II. Etapa Maderista
7,1,III. Etapa Constitucionalista
7,1,IV. Reconstrucción Nacional
7,2,a. Las huelgas y los partidos de oposición 
7,2,b. El movimiento zapatista y ña decena trágica
7,2,c. La Ley del 6 de enero y la Constitución de 1917
7,2,d. Rebelión de Agua Prieta y Gobierno de Álvaro Obregón
8,1,I: Creación del libro de texto gratuito
8,1,II: Nacionalización de la Banca
