id,postparrafo,parrafo
1,,"Antes, hace muchos años, no existían los llamados chícharos que se colocan en el oído de los actores para darles indicaciones y recordarles sus parlamentos. La única ayuda que tenían para la memoria era que los textos dramáticos se escribían en verso para que fuera más fácil recordarlos."
2,,"En nuestro país existe un gran número de dialectos. Simplemente, en la región de Oaxaca se hablan más de 14. Sin embargo, los mexicanos no valoramos la valiosa herencia de nuestro antepasados sino todo lo contrario. El mexicano siempre se esfuerza por imitar otros pueblos y esconder lo que es realmente suyo. ""Para muestra, basta un botón"". La palabra coyaocan, que significa lugar de los coyotes, originalmemte no tenía acento pero para quitarle lo indio, se convirtió en Coyoacán. Hace falta hacer una profunda reflrexión sobre la defensa de nuestros dialectos. ¡No debemos dejar que desaperzcan! No debemos permitir que sólo los extranjeros se deleiten con su belleza"
3,,Las campañas contra el bullying permitirán crear un mejor ambiente en las escuelas
4,,"De cualquier forma, la violencia en las escuelas -como el acoso en las redes sociales- no podrá ser erradicadas por ninguna capaña escolar si no se cuenta con el apoyo de los padres de familia"
5,,"Son las palabras que llevan la mayor fuerza de voz en la penúltima sílaba; nunca se acentúan aquellas que terminen en n, s o vocal"
6,,Bailarín es a coreografía como actor es a...
7,El guión largo se puede sustituir por:,"Como entre sus malas costumbres no figuraba la de ser ladrón -sus principales bienes de fortuna eran una modesta casa de la colonia San Rafael, en la capital, y otra en el vecino de pueblo de Popotla, que usaban para vacacionar-, sólo pudo pagarse un hotel de pobretón. "
8,La función de la lengua es:,"Los lapidarios mexicanos no solamente tenñias conocimiento de las piedras preciosas, sino también sabían trabajarlas y grabar en ellas cuanto querían. "
9,,"El vocablo Coyoacán es el resultado de una serie de transformaciones que en su escritura y pronunciación sufrió la palabra nahúatl coyohuacán. La versión más aceptada es la que se define como: lugar que tienen o poseen coyotes, basada en la explicación del topónimo original, que se compone de tres voces nahuas: coyotl, coyote; hua, posesión y can, lugar. Esta última definición es apoyada por historiadores de la talla de Cecilio Roberlo, Manuel Rivera y Cambas y Antonio Peñafiel, y aceptada por el cronisya de Coyoacán Luis Everaert, quien afirma en su texto ""Coyoacán a Vuela-pluma"" que: ""siguiendo a León Portilla, se justificaría la intromisión del coyote en el topónimo si se considera que, aparentemente, Coyoacán estaba consagrada a una de las más importantes deídades del pantón mexica, Tezcatlipoca (Espejo Humeante), cuyo nagual, era precisamente, ese cánido depredador"""
10,,El pobre VAGABUNDO recorre el mundo sin destino.
11,El núcleo del predicado es:,La decodificación del genoma permitirá resolver preguntas fundamentales para la biología y la sociedad.
12,,"En todo caso, nuevas agresiones bélicas contra gente inocente - como las que Washington planea a ojos vistas- no atenuarán los sentimientos antiestadounidenses en el mundo sino todo lo contrario"
13,,No lleva tilde o ACENTO ortográfico una palabra que sea ______ y termina en ______
14,"En el texto que se ha resaltado en negritas, se identifica como:","Este que ves,<lat>\textbf{engaño colorido que el arte ostentando los primores}</lat>, con falsos silogismos de colores es cauteloso engaño del sentido. "
15,,"Dejad que las hebras de oro ensortijado, que el ánima me tiene enlazada..."
16," En la frase anterior, la función lingüística predominante es la:","""No te limites, date el gusto de usar una computadora Dell"""
17,¿Qué se puede entender considerando el lenguaje figurado?,"Y todo el campo un momento se queda, mudo y sombrío, meditando. Suena el viento en los álamos del río "
18,"En el texto anterior, ¿qué función cumple la palabra subrayada?","Francisco Arango y Parreño, inteligente ideólogo de la oligarquía esclavista criolla fue de los primeros en observar los peligrosos perfiles enfocados hacia Cuba "
19,,"Antes que el viento fuera mar volcado, que la noche se unciera su vestido de luto y que las estrellas y luna fincaran sobre el cielo la altura de sus cuerpos"
20,¿Cuántos mililitros de una solución de hidróxido de sodio 0.01M se necesitan para neutralizar 10ml de una disolución de ácido clorhídrico 0.02M?,<lat>HCl+NaOH\rightarrow NaCl+H_{2}O</lat>
21,,"El hombre-cohete vuela, araña y rompe su tela"
22,,"""Cada nueve años entran en la casa nueve hombres para que uo los libere de todo mal. Oigo sus pasos o su voz en el fondo de las galerías de piedra y corro alegremente a buscarlos. La ceremonia dura pocos minutos. Uno tras otro caen sin que yo me ensangriente las manos. Donde cayeron, quedan, y los cadáveres ayudan a distinguir una galería de otras. Ignoro quiénes son, pero sé que uno de ellos profetizó, en la hora de su muerte, que alguna vez llegaría mi redentor"" Jorge Luis Borges"
23,,"Hombre en medio del mundo y hombre a solas. Junto al mar fuiste humilde y escribiste. Simplemente las olas son las olas.
"
24,,"Para elaborar un curriculum vitae acertado es necesario mencionar la información completa, sintentizada y verza, colocada ordenadamente y, así, asegurar que el empleador dea el texto integro; es decir: que primero se deben de incluir los datos personales del candidato, seguidos de los datos administrativos y luego los escolares, mencionando solo los dos últimos grados de estudios, incluyendo la mención de los títulos obtenidos, esto, aparte de ampliar la información, ayuda al empleador a tomar una decisión; al final se debe incluir la información laboral comenzando por el último trabajo, sin olvidar mencionar el cargo realizado, el domicilio del área de trabajo y los sueldos inicial y final, así como el tiempo en que se prestó servicio. Por último es obligatorio incluir la firma del solicitante, parra darle validez y contenido al texto."
25,,"Nuestro conociemiento, sobre todo de Dios, es muy limitado; Dios es, en última instancia, <lat>\textbf{inefable, inconcebible}</lat> e inimaginable."
26,,No te limites. Usa ordenadores Dell
27,,La quinceañera bailó MUCHO esa noche
28,,Se termina febrero y todos olvidaron sus propósitos
