id,question,answer1,answer2,answer3,answer4,correct_answer,figure,paragraph,subject
1, La Geografía se concibe como la disciplina que se relaciona con las ciencias...,humanísticas y sociales,físicas y naturales,económicas y sociales,sociales y naturales,4,,,1
2," De los siguientes enunciados, ¿cuál describe correctamente la posición geográfica de México?",El Hemisferio Meridional Occidental,El Hemisferio Sur Oriental,El Hemisfermio Septentrional Oriental,El Hemisferio Norte Occidental,4,,,1
3,La Geografía es la ciencia que estudia la interrelación entre los factores...,"biológicos, físicos y humanos","biológicos, geográficos y humanos","movimiento, tierra y naturaleza","biológicos, químicos y físicos",1,,,1
4,Relaciona los siguientes países con los hemisferios que les corresponden ,"I: b, c - II: a, d - III: a, c - IV: b, d","I: b, d - II: a, d - III: a, c - IV: a, d","I: a, d - II: b, c - III: b, c - IV: a, c","I: a, c - II: b, c - III: b, d - IV: b, c",4,1,,1
5,¿Qué regiones de nuestro planeta atraviesa el trópico de Capricornio?,"Madagascar, Oceania y Alaska","Europa, Asia y Sudamérica Septentrional","América del Sur, el sur de África y Oceanía","Sudáfrica, el océano Pacífico y México",3,,,1
6,¿Qué países pertenecen a la Unión Europea?,Bélgica y Portugal,España y Noruega,Turquía y Francia,España e Islandia,1,,,1
7,"Si en Baja California Sur son las 5:00 a.m., ¿qué hora será en España y Marruecos que están a 7 husos horarios a la derecha?",5:00 a.m.,12 p.m.,7:00 de la noche ,9:00 de la mañana,2,,,1
8,¿En qué tratados comerciales está incluido México? ,Asia-Pacífico (APEC)/Tratado de Libre Comercio de América del Norte (TLCAN),Unión Europea (EU)/Tratado de Libre Comercio de América del Norte (TLCAN),MERCOSUR/Tratado de Libre Comercio (TLCS),Acuerdo Estratégico Transpacífico de Asociación Económica (AETAE)/MERCOSUR,1,,,1
9,¿Qué incisos muestran características de países subdesarrollados?,"I, III, V","I, II, V","I, II, IV","III, IV, V",3,2,,1
10,"El relieve es formado y modificado por medio de los deslizamientos internos de las placas tectónicas, ¿qué placa realiza la mayor actividad sísmica en el mundo?",Norteamérica,Euroasíatica,Pacífico,Cocos,3,,,1
11,¿Cuál es el sistema montañoso que divide Europa de Asia?,Rocallosas,"Himalaya
",Balcanes,Urales,4,,,1
12,¿Cuáles son los estados que representan la zona sísmica más intensa de nuestro país?,"Hidalgo, Jalisco, Yucatán, Quintana Roo","Yucatán, Chiapas, Nuevo León y Chihuahua ",Penínsulas de Yucatán y Baja California,"Michoacán, Jalisco, Guerrero y Oaxaca
",4,,,1
13,Debido al choque de la placa _________ con la placa ______________ se encuetran restos de fósiles en los Himalaya,Pacífico/Norteamericana,Cocos/África,Euroasiática/Indoaustraliana,De la Rivera/Cocos,3,,,1
14,"El clima de la jungla de Bengala, India; del Amazonas en Sudamérica, o del Congo africano, es de tipo Af. Asimismo, estos lugares son regiones naturales que se caracterizan por tener la mayor insolación  y humedad del planeta, y en donde se explotan maderas de alyo valor comercial, como la caoba y el ébano. ¿A qué región natural y clima se refiere el texto anterior?",La selva y el clima tropical con lluvias todo el año ,El bosque tropical y clima mixto: tropical y templado ,La sabana y clima tropical lluvioso en verano,El bosque y clima con lluvias monzónicas,1,,,1
15,"¿Que tipo de paisaje narual es representativo en regiones como Europa meridional, China septentrional y Escandinavia? ",El desierto,Las estapas,Los paisajes boreales ,El bosque templado ,4,,,1
16,"El efecto invernadero es un fenómeno atmosférico natural que permite mantener la temperatura promedio del planeta al retener parte de la energía solar, pero que, en presencia de los cloroflurocarbonaros y otros contaminantes, suscita un calentamiento  anormal al impedir que se libere el calor atmosférico. Dos de las consecuencias que el  efecto invernadero puede generar en el cambio climatico global son:",disminución del nivel del mar y aumento de temperatura,contaminación de océanos y disminución de temperatura,"severas inundaciones y aumento de temperatura
",climas fríos en el ecuador y disminución del nivel del mar ,3,,,1
17,La doctrina _________ es característica de los países ________,capitalista/subdesarrollados,socialista/desarrollados,"neoliberal/desarrollados
",socialista/subdesarrollado,3,,,1
18,"En las mesetas, su densidad de población es _____, y su principal activdiad económica es la __________",alta/agricultura,media/agricultura,"media/ganadería
",alta/ganadería,3,,,1
19,"Los ciclones son vientos que giran alrededor de una zona de baja presión concentrando nuves, lluvias y vientos intensos; se forman en el mar y avanzan hacia las costas y, dependiendo la velocidad de sus vientos, se clasifican normalmente en depresión tropical, tormenta tropical y huracán. ¿Qué región de la República Mexicana es mayormente afectada por las tormentas y huracanes?",Golfo de México: Veracruz y Tabasco,Costas del mar Caribe: Yucatán y Quintana Roo,Océano Pacífico sur: Guerrero y Oaxaca,Costas del Golgo de México: de Tamaulipas hasta Yucatán ,1,,,1
20,"En 1929 varios reinos se unieron para formar Yugoslavia. Sin embargo, a partir de 1991 comienza su desintegración debido a la independencia de las antiguas repúblicas federativas que la constituían, tales como Eslovenia, _________ y ___________
",Croacia y Macedonia,Albania y Hungría,Croacia y Armenia,Estonia y Letonia ,1,,,1
21,"La descolonización de África inició con la independecia de Ghana en 1957; le siguieron estados como Túnez, Marruecos, Nigeria, Somalia entre otros. Este proceso de independencia africana de países europeos finaliza con las problemáticas independencias del Congo en 1960, de _______ y _______ en 1975.",Egipto y Madagascar,Sáhara Occidental y Angola,Angola y Mozambique ,Mozambique y Egipto,3,,,1
22,¿Cuál de los siguientes países se encuentra más al Norte?,Sudán ,Nigeria,Túnez,Egipto,3,,,1
23,¿De dónde sacan los países continentales sus recursos del agua potable?,Precipitación,Condensación,Infiltración,Escorrentía,1,,,1
24,Placas tectónicas que forman el Sistema Montañoso del Himalaya,La placa indostatica y placa euroasiática,La placa indostática y Asiática,La placa australiana y la placa hindú,La placa de Nazca y la placa euroasiática,1,,,1
25,¿Cómo se forma la Cordillera del Himalaya?,Por la divergencia de la placa euopa y asiática,"Por el choque de la placa hindú, con la euroasiática",Por la separación de la placa hindú con la euroasiática,Por la transformación de la placa hindú y australiana,2,,,1
26,"Países que tienen bajo indice de natalidad, y alto indice de migración",Países subdesarrollados,Países en vías de desarrollo,Países desarrollados,Países de cuarto mundo,3,,,1
27,"¿En qué zona se tiene un bajo índice de natalidad, y alto índice de inmigración?",Centro de Asia,Sureste de Asia,América Latina,Oeste de Europa,4,,,1
28,¿Qué caracteriza un país desarrollado?,Alta esperanza de vida y elevado alfabetismo,Alta natalidad y elevado analfabetismo,Bajo PIB y elevada esperanza de vida,Baja esperanza de vida y elevado PIB,1,,,1
29,¿Quién dirige la globalización?,Las empresas transnacionales,El estado,El pueblo ,Las comunicaciones,1,,,1
30,"Indica el orden de Norte a Sur, de los siguientes estados: Zacatecas, Coahuila, Tlaxcala, Guanajuato","Zacatecas, Coahuila, Tlaxcala, Guanajuato","Coahuila, Zacatecas, Guanajuato y Tlaxcala","Tlaxcala, Guanajuato, Zacatecas y Coahuila","Coahuila, Zacatecas, Tlaxcala y Guanajuato",2,,,1
31,¿A qué bloque económico pertence Brasil y Colombia?,TLC,UE,"Mercosur
",Asociación de Países del Pacífico,3,,,1
32,Los países de Medio Oriente son productores principalmente de:,Petróleo,Gas Natural,"Metano
",Carbón,1,,,1
33,Clima en Ottawa,Tropical,Húmedo,Templado,"Frío
",1,,,1
34,Placa más grande de la Tierra:,Pacífico,Nazca,Antártica,Norteamericana ,1,,,1
35,Zona donde se asienta el sector comerciante:,Bosques templados ,Llanuras pobladas,Zonas con alto índice de natalidad,Mesetas,2,,,1
36,Son países de primer Mundo:,"EU, Sri Lanka, Tanzania","EU, Filipinas, Japón","Alemania, México, Sudáfrica","EU, Alemania, Japón",4,,,1
37,Mediante este proceso se obtiene agua dulce en tierras continentales:,Condensación,Precipitación,Lixvación,Evaporación,4,,,1
38,Principales ciudades petroquímicas en México ,"Salamanca, Tula, Poza Rica","Tula, Taxco, Zacatecas","Campeche, Guanajuato, Mérida","Cananea, Veracruz, Guerrero Negro",1,,,1
39,¿A qué se debe que existen fósiles marinos en el Himalaya?,I - 2,III - 2,I - 3,II - 1 ,3,21,,1
40,La globalización es un sistema que esta dominado por países:,Regional desarrollado,Neoliberal desarrollado,Regional en desarrollado,Neoliberal en desarrollo,2,,,1
41,Indicadores poblacionales de Europa Occidental:,"Bajo índice de natalidad, elevado analfabetismo, alta calidad de vida","Alto índice de natalidad, elevado analfabetismo, baja calidad de vida","Alto índice de natalidad, bajo analfabetismo, alta calidad de vida","Bajo índice de natalidad, alto analfabetismo, baja calidad de vida",1,,,1
42,Placa tectónica que influye en el movimiento sísmico de Guerrero: ,Nazca,Sudamericana,Cocos,Caribe,3,,,1
43,La taiga se ubica:,Europa,Sudamericana,Canadá,Nueva Zelanda,3,,,1
44,Placa tectónica de mayor riesgo sísmico: ,Sudamerica,Nazca,Pacífico,Antártica,3,,,1
45,¿A qué se debe el establecimiento de la población en el oriente de Asia?,Clima monzónico y cultivo de arroz,Clima tropical y cultivo de soya,Clima templado y cultivo cebada,Clima seco y cultivo de sorgo,1,,,1
46,Política adoptada en la globalización de los países desarrollados:,Neoliberalismo,Socialismo,Anarquismos,Comunismo,1,,,1
47,¿Qué países forman parte de la UE?,"Bélguca, Lituania, Rusia","Bélgica, Portugal, Irlanda","España, Portugal, Andorra","Inglaterra, Dinamarca, Bielorrusia",2,,,1
48,Zona de mayor sismicidad en México:,Zona sur,"Zona sureste
",Zona suroeste,Zona noroeste,3,,,1
49,Estado de mayor producción de atún,Baja California Norte,"Veracruz
",Sonora,Sinaloa,1,,,1
50,"Rama de la geografía que se encarga de estudiar el clima, el relieve y la vegetación: ",Geografía humana,Geografía física,Geografía ecológica,Geografía económica,2,,,1
51,¿A qué país emigra la población turca?,España,Rusia,Alemania,Grecia,3,,,1
52,"¿En que contienente se encuentras las Rocallosas?
",Sudamerica,Europa,Asia,Norteamérica,4,,,1
53,Beneficio económico de los países emisores de la inmigración:,Cultural,Bolsa de trabajo,"Mano de obra barata
",Obtención de PIB,3,,,1
54,¿Qué es la geografía?,"Estudia la interacción entre aspectos físicos, biológicos y humanos",Estudio de la Tierra,"Descripciónn a la interacción entre aspectos físicos, biológicos y humanos",Se divide en Geografía Física y Geografía Humana,3,,,1
55,Estados petroleros de México ,Veracruz y Tamaulipas,Puebla y Tlaxcala,Quintana Roo y Yucatán,Campeche y Puebla,1,,,1
56,Características de la globalización,Aperturas económicas,Bloques económicos,"Hegemonia cultural
",Fusión de capital de estado,1,,,1
57,"Argentina, Uruguay y Brasil encabezan el bloque económico",TLCAN,MERCOSUR,UEE,Tigres asiáticos,2,,,1
58,¿De dónde proviene el agua dulce los desiertos?,Humedad,Ríos,Lagos ,Mantos freáticos,4,,,1
59,Ubicación de los Alpes,Latitud 45º N,Latitud 60º S,Latitud 75º N ,Latitud 23º N,1,,,1
60,"Realciona los organismos autótrofos y heterótrofos con los ejemplos que corresponden 
","1b, c - 2a, d","1a, c - 2b, d
","1a, b - 2c, d ","1b, d - 2a, c ",2,3,,3
61,Relaciona las células procariontas y eucariontas con sus características,"1a, c - 2b, d","1b, d - 2a, c","1b, c - 2a, d","1a, d- 2b, c",4,4,,3
62,En la fotosíntesis se rompe una molécula de H_{2}O para producir inicialmente,Glucosa,Monóxido de carbono ,Oxígeno,Dióxido de carbono ,1,,,3
63,"Durante el proceso anaérobico de fermentación _________ el ácido pirúvico cambia a etanol y bióxido de carbono. De modo similar, una disminución de oxigeno en los músculos durante el ejercicio ocasiona fatiga, debido  a la acumulación de ácido láctico producto de la fermentación __________",Láctica-alcohólica,Alcohólica-láctica,Alcohólica-acética,Acética-láctica,2,,,3
64,"¿Qué proceso se lleva a cavo en la fase G1 de la interfase?
",Supresión de ADN dañado,Formación de replicones,Diferenciación de replicones,Crecimiento celular,4,,,3
65,Una consecuencia de la meiosis es la:,"Especiación biológica
",Selección secual,Adaptación funcional ,Variación genética,4,,,3
66,"Durante la meiosis, cuando dos elementos de cada par de cromosomas homólogos se separan, los pares de genes se ubican en diferentes gametos. Como resultado, algunos inviduos pueden transmitir un caracter determinado, aunque ellos no los manifiesten. Esto se conoce como la ley...",de uniformidad,de la combinación independiente,de segregación,del recesivo,3,,,3
67,Los plásmidos son:,moléculas energéticas,material genética extracromosomal que se localiza en el citoplasma de las bacterias,organelos que se localizan únicamente en las células vegetales,fracciones cromosómicas de una célula vegetal,2,,,3
68,A un individuo que posee alelos idénticos para un caracter se le conoce como:,heterocigoto,haploide,homocigoto,diploide,3,,,3
69,Reino de la naturaleza formado por células procariotas,Monera,Fungi,Plantae,Animalia,1,,,3
70,Se conoce como especie endémica a aquella,que tiene individuos que le representan en dos o más zonas biogeográficas,que se encuentran solo en determinada región de la biosfera,"cuyo hábitat es cosmopolita y, por lo tanto, puede encontrarse en cualquier lugar de la biosfera",que se refiere a especies marinas,2,,,3
71,En una cadena trófica ocurre,transformación de energía,creación de nueva energía,destrucción de energía ,almacenamiento de energía,1,,,3
72,Relaciona los procesos de anabolismo y catabolismo como los ejeplos correspondientes,"1a, d - 2b, c","1b, c - 2a, d ","1a, b - 1c, d","1c, d - 1a, b ",1,5,,3
73,"_______ propuso que los cambios ambientales provocan modificaciones adaptativas en los organismos, los cuales son transmitidas a los descendientes",Buffon,Cuvier,Lamarck,Darwin,4,,,3
74,Para Darwin y Wallace el mecanismo evolutivo de mayor importancia es la: ,adaptación ,mutación,endogamia,selección natural,1,,,3
75,Unidad natura de factores vivos y no vivos que interactúan de manera cíclica y estable se define como:,Población,Bioma,Hábitat,Ecosistema,4,,,3
76,_________ y __________ son factores independientes de la densidad que limitan el crecimiento de una población ,Alimento limitado - conductores predatorias,Alimeto limitado - luz,Temperatura - conductas predatorias,Temperatura - luz,1,,,3
77,"¿Cúal es la causa de que el CO_{2} sea un agente contaminante en la Ciudad de México 
",El uso de fertilizantes,La descomposición de residuos sólidos,El uso de pinturas,La quema de combustibles fósiles,4,,,3
78,"A través de los ciclos biogeoquímicos, el bióxido de carbono y el agua se mueven hacia los productores acúaticos y terrestres para llevar a cabo:",Homeostasis,Descomposición, Fotosíntesis,Respiración,3,,,3
79,Autor que afirmo que todos los animales están formados por células,Schleiden,Virchow,Schwan,Purkinje,3,,,3
80,El _____ es la primera fuente de energía metabólica para los seres vivos ,"ADN
",GTP,ATP,ARN,3,,,3
81,La sacarosa resulta de la unión de los monosacáridos,Glucosa + glucosa,Glucosa + galactosa,Glucosa + fructuosa,Glucosa + ribosa,3,,,3
82,"El reino que comprende a los seres más sencillos, unicelulares, procariotas y comprende a las cianobacterias y bacterias, se denominan:",Protista,Monera,Fungi,Vegetal,2,,,3
83,Concepto biológoco de especie,organismos similares que se cruzan entre sí y tienen descendencia fértil ,"organismos de especies diferentes, que se cruzan entre si", ornanismos iguales que no producen descendencia fértil ,organismos similares que se cruzan entre si y carecen de descendencia fértil,1,,,3
84,"Tras la glucolisis se producen dos moléculas de ácido pirúvico, que deben ser químicamente transformadas a _______ antes de que ingresen al ciclo de Krebs ",FADH,NAD,NADH,Acetil Co-A,4,,,3
85,"La mitosis se ha dividido en fases, ¿cuál es la secuencia correcta?","Profase, metafase, anafase, telofase","Telofase, anafase, metafase, profase","Metafase, anafase, telofase, profase","Profase, telofase, anafase, metafase",1,,,3
86,La información genética del ácido desoxiribonucleico está en:,El número de nucleótidos,Secuencia de las bases, Posición del azúcar,Grupo fosfato,2,,,3
87,La rama de la biología que se encarga de la clasificación de los seres vivos,Citología,Taxonomía,Botánica,Fisiología,2,,,3
88,¿Qué postulado es correcto para la Teoría de Lamarck?,Los órganos que se utilizan se desarrollan,Los órganos que no se utilizan se desarrollan,Los órganos que se utilizan se mutan,Los órganos que se utilizan se degeneran,1,,,3
89,¿Qué reino tiene célula procarionte?,Fungi,Animalia,Plantae,Monera,4,,,3
90,Principal molécula energética de los seres vivos,ADP,ATP,ADN,ARN,2,,,3
91,¿Cómo se da la evolución?,Coevolución,Extinción,Mutaciones aleatorias,Exterminación,3,,,3
92,Ciclo biogeoquímico relacionado con la síntesis de nucleótidos,Fósforo,Carbono,Nitrógeno,Azufre,2,,,3
93,¿Qué tipo de enlace presentan las proteínas?,Peptídicos,"Glucosídico
","Puentes de hidrógeno
",Metálico,1,,,3
94,¿Qué característca permite la variabilidad en las especies?,Clonación,Recombinación genética,Adaptación,Selección ,2,,,3
95,"Las levaduras se reproducen por fisión binaria, esto quiere decir que:",Hay variabilidad genética,Las hijas son iguales,Hay abundante recombinación,Las hijas son diferentes,2,,,3
96,Son dos especies diferentes que conviven en el mismo lugar y dependen una de otra,Comensalismo,Depredación,Digestión,Simbiontes,4,,,3
97,"Cuando entra Acetil Coenzima A, ¿qué se genera por la descarboxilación del Ciclo de Krebs?",CO_{2} ,O_{2} ,NADPH,Glucosa,1,,,3
98,Es la rama de la biología que se encarga de la organización de los seres vivos por género y especie,Ecología,Biogeografía,Taxonomía,Evolución,3,,,3
99,Relaciona las etapas del ciclo celular,"I: A, B, D, F y II: A, C, E, G","I: A, C, F, G y II: B, D, F","I: B, D, F, G y II: A, B, C, E","I: B, D, F y II: A, C, E, G",4,17,,3
100,"Si el ADN de Escherichia coli se combina con ADN humano pata producir insulina, se de un proceso de:",ADN recombinante,Mutación,ARN nuclear,Clonación,1,,,3
101,Tipo de reproducción para regenerar tejidos de desgaste rápido cono la piel y el cabello,Meiosis,Regeneración,Mitosis,Gemación,3,,,3
102,¿Qué conforma una proteína?,Nucleótidos,Bases nitrogenadas,Monómeros,Aminoácidos,4,,,3
103,¿Qué permite que las poblaciones humanas se puedan reproducir?,Equilibrio de recursos naturales,Desarrollo económico,Desarrollo tecnológico,Equilibrio cultural,1,,,3
104,Función del ADN,Energética,Estructural,Formar y guardar información en cromosomas,Enzimática,3,,,3
105,"¿De qué está conformado el ADN?
","Adenina, Desoxirribosa, Grupo fosfato","Grupo fosfato, azúcar y base nitrogenada","Adenina, azúcar y base nitrogenada","Grupo fosfato, azúcar y desoxirribosa",2,,,3
106,¿Qué reinos están formados por células eucariontes?,"Monera, protista, animalia y plantae","Protista, animalia, plantae y fungi","Monera, animalia, plantae y fungi
","Protista, plantae, monera y fungi",2,,,3
107,La glucosa es:,Carbohidrato de 6 carbonos,Carbohidratos de 12 carbonos,Proteína de 6 carbonos,Lípido de 6 carbonos,1,,,3
108,Etapa de no división celular,Mitosis,Meiosis,Interfase,Citocinesis,3,,,3
109,La evolución se da de forma:,Espontánea,Por adaptación al ambiante,Por mutaciones aleatorias,Por uso y desuso de las partes,3,,,3
110,¿Qué macromolécula está formada por una base nitrogenada y un grupo fosfato?,Nucleótido,Aminoácido,"ARN
",Nucleósido,4,,,3
111,Diferencias entre célula vegetal y animal,Cloroplasto y pared celular,Membrana y centriolos,Membrana y ribosomas,Núcleo y ADN,1,,,3
112,Enzima precursora del Ciclo de Krebs:,Acetil Coenzima A,Piruvato,Agua,Lactato deshidrogenasa,1,,,3
113,Proceso anaerobio donde se destruye la glucosa,Gluconeogénesis,Glucólisis,Respiración anaeronia,Respiración aerobia,2,,,3
114,Organismos de la misma especia que conviven en un mismo entorno:,Ecosistema,Comunidad,Simbiontes,Población,4,,,3
115,¿Qué tipo de células produce la mitosis?,Haploides,Células gaméticas,Diploides,Coacervados,3,,,3
116,Proceso de formar sustancias complejas a partir de simples,Metabolismo,Anabolismo,Catabolismo,Amensalismo,2,,,3
117,Tipo de reproducción que favorece la variabilidad biológica,Sexual,Asexual,Fragmentación,Fisión binaria,1,,,3
118,Base nitrogenada exclusiva del ARN,Timina,Uracilo,Guanina,Adenina,2,,,3
119,"Las Reformas Borbónicas en la Nueva España hicieron posible el desarrollo y comercialización entre España y sus colonias, lo cual permitió","facilitar la entrada y salida de recursos a las colonias, permitir la gobernabilidad locar y disminuir la recaudación","aumentar la recaudación a la Corona, reducir el poder de los grupos locales y retomar el control político, económico y militar",incrementar la entrada de los esclavos provenientes de otras colonias españolas que propiciaban el crecimiento económico,"explotar los recursos naturales como la madera y la minería entre otros, y permitir el crecimiento de la economía local",2,,,9
120,Es la forma de división política del territorio de la nueva españa impuesta por las Reformas Borbónicas,"Municipios
",Reinos ,Estados,Intendencias,4,,,9
121,"¿Cuántas intendencias hubo en el virreinato y cuál era su función?
","11- Limitar el poder del virrey
",12- Incrementar el ingreso de la Colonia,12- La división territorial,11- Incrementar los ingresos de los criollos,2,,,9
122,Causas externas de la indepencia de la Nueva España,El gobierno de Jorge III y el apoyo de la Revolución Francesa,Las revoluciones liberales en Europa y la Guerra de los 7 años,La independencia de las Trece Colonias Inglesas de Norteamérica y ñas ideas de la Ilustración,El sentimiento nacionalista criollo y la revolución de Riego,3,,,9
123,Una de las causas internas de la independecia de la Nueva España fue que los:,penisulares fueron despojados de sus riquezas,mestizos comerciantes pagaban impuestos justos,grupos marginados lograron una movilidad social ,los criollos sufrían una gran relegación,4,,,9
124,"Después de la independencia de la Nueva España, _________ intentó retomar el control del país con la invasión de _________",España-Barradas,Francia-Forey,Estados Unidos-Pershing,Inglterra-Raleght,1,,,9
125,Primera forma de gobierno que se estableción en el México independiente,Dictadura,República federal,Monarquía,Imperio,4,,,9
126,"Ordena cronológicamente los siguientes acontecimientos históricos:
","IV, II, I, III y V","III, V, I, II y IV","V, IV, III, II y I","I, III, IV, V y II",2,6,,9
127,El Plan de Ayutla pronunciado el 1 de Marzo de 1854 tuvo como finalidad:,proponer la intervención de Estados Unidos en asustos de México,fortalecer el centralismo político ,"desarraigar definitivamente el poder de Antonio López de Santa Anna
",enfrentar la intervención militar de Francia en México ,3,,,9
128,Con los gobiernos surgidos con la revolución de Ayutla se establecieron los:,conceptos conservadores de gobierno,principios de la teocracia liberal,principios de la monarquía,principios liberales en el gobierno,4,,,9
129,Filosofía política que sustentó al gobierno de Porfirio Diaz:,Positivismo,Socialismo,Anarquismo,Regalismo,1,,,9
130,País cuya cultura tuvo gran influencia en el Porfiriato,Alemania,Inglaterra,España,Francia,4,,,9
131,Menciona las características de las diferentes etapas de la Revolución Mexicana,"I-d, II-a, III-c ,IV-b","I-d, II-b, III-c, IV-a","I-b, II-c, III-a, IV-d","I-a, II-b, III-c, IV-d",4,7,,9
132,"La Constitución de 1917 tuvo consecuencias en la política exterior, pues en su artículo 27 establecía que lso recuersos naturales del subsuelo mexicano eras propiedad de la nación y: ","quedaba instaurado el pago de salarios mínimos, jornadas máximo de trabajo, seguridad para los trabajadores y eliminación del trabajo infantil","reconocía la supremacía del Estado sobre la Iglesia, con lo que se quitaba a esta sus fueros y la deslindaba de los asuntos políticos de la nación ","que la educación básica sería pública; la que se impartiera en las instituciones del Estado sería gratuita, y tanto en estas como en las particulares debía ser láica","sólo esta podría otorgar las concesiones para su explotación  a los extranjeros, siempre y cuando renunciaran a la protección de sus gobiernos",4,,,9
133,"Periodo de 1928 y 1934, en el que Plutarco Elías Calles controló a la política mexicana y manipuló a los presidentes en turno ",Decena trágica,Plan Sexenal,Callismo,Maximato,4,,,9
134,Principios que caracterizaron al Plan Sexenal,Nacionalismo agrario y obrero para fortalecer al mando presidencial ,Populismo totalitario a favor del jefe máximo de la Revolución ,Política de extrema derecha en torno al Partido de Estado,Gobierno de masas con apoyo de potencias extranjeras en México ,1,,,9
135,Los movimientos huelguísticos durante el cardenismo lograron el aumento de los salarios cuyo impacto en la economía nacional fue:,"Reactivar el mercado interno
","Incrementar las utilidades del capital
",Concentrar la riqueza en pocas manos,"Sustituir las importaciones de manufacturas
",1,,,9
136,El cremiento económico logrado por el país desde el fin de la Segunda Guerra Mundial hasta la década de los setentas es conocido como:,Milagro mexicano ,Desarrollo industrial,Desarrollo estabilizador,Prosperidad económica,1,,,9
137,"De los siguientes acontecimientos, ¿cuáles hacen referencia al gobierno de Adolfo López Mateos?","I, III y VI","II, III y IV","II, IV y V","IV, V y VI",1,8,,9
138,Fenómeno de gran auge económico que vivió México de 1952 a 1970,Nacionalismo económico,Desarrollo estabilizador,Reconstrución Nacional,Nacionalismo revolucionario,2,,,9
